timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2020-01-02T00:00:00+00:00,853.64,999.87,-0.01,1,AAPL:long:1.9474@75.1351,146.32,-0.09,
2020-01-03T00:00:00+00:00,853.64,998.45,-0.15,1,AAPL:long:1.9474@75.1351,146.32,-1.51,
2020-01-06T00:00:00+00:00,999.43,999.43,-0.06,0,No positions,0.00,0.00,
2020-01-07T00:00:00+00:00,999.43,999.43,-0.06,0,No positions,0.00,0.00,
2020-01-08T00:00:00+00:00,811.37,998.94,-0.11,1,AAPL:long:7.4323@75.8455,187.90,-0.34,
2020-01-09T00:00:00+00:00,947.07,1010.64,1.06,1,AAPL:long:4.1157@77.4564,63.76,-0.19,
2020-01-10T00:00:00+00:00,947.07,1011.34,1.13,1,AAPL:long:4.1157@77.4564,63.76,0.51,
2020-01-13T00:00:00+00:00,947.07,1018.17,1.82,1,AAPL:long:4.1157@77.4564,63.76,7.34,
2020-01-14T00:00:00+00:00,947.07,1013.76,1.38,1,AAPL:long:4.1157@77.4564,63.76,2.94,
2020-01-15T00:00:00+00:00,947.07,1012.36,1.24,1,AAPL:long:4.1157@77.4564,63.76,1.54,
2020-01-16T00:00:00+00:00,947.07,1016.40,1.64,1,AAPL:long:4.1157@77.4564,63.76,5.57,
2020-01-17T00:00:00+00:00,947.07,1019.98,2.00,1,AAPL:long:4.1157@77.4564,63.76,9.15,
2020-01-21T00:00:00+00:00,947.07,1017.76,1.78,1,AAPL:long:4.1157@77.4564,63.76,6.93,
2020-01-22T00:00:00+00:00,977.52,1020.73,2.07,1,AAPL:long:2.7265@79.4777,43.34,-0.13,
2020-01-23T00:00:00+00:00,977.52,1021.77,2.18,1,AAPL:long:2.7265@79.4777,43.34,0.91,
2020-01-24T00:00:00+00:00,977.52,1021.14,2.11,1,AAPL:long:2.7265@79.4777,43.34,0.28,
2020-01-27T00:00:00+00:00,1014.52,1014.52,1.45,0,No positions,0.00,0.00,
2020-01-28T00:00:00+00:00,978.36,1014.36,1.44,1,AAPL:long:2.2719@79.4677,36.11,-0.11,
2020-01-29T00:00:00+00:00,978.36,1018.13,1.81,1,AAPL:long:2.2719@79.4677,36.11,3.66,
2020-01-30T00:00:00+00:00,978.36,1017.88,1.79,1,AAPL:long:2.2719@79.4677,36.11,3.41,
2020-01-31T00:00:00+00:00,1009.52,1009.52,0.95,0,No positions,0.00,0.00,
2020-02-03T00:00:00+00:00,1009.52,1009.52,0.95,0,No positions,0.00,0.00,
2020-02-04T00:00:00+00:00,964.05,1009.32,0.93,1,AAPL:long:2.8468@79.7578,45.41,-0.14,
2020-02-05T00:00:00+00:00,964.05,1011.17,1.12,1,AAPL:long:2.8468@79.7578,45.41,1.71,
2020-02-06T00:00:00+00:00,964.05,1013.85,1.38,1,AAPL:long:2.8468@79.7578,45.41,4.39,
2020-02-07T00:00:00+00:00,964.05,1010.17,1.02,1,AAPL:long:2.8468@79.7578,45.41,0.72,
2020-02-10T00:00:00+00:00,964.05,1011.26,1.13,1,AAPL:long:2.8468@79.7578,45.41,1.80,
2020-02-11T00:00:00+00:00,1009.60,1009.60,0.96,0,No positions,0.00,0.00,
2020-02-12T00:00:00+00:00,967.01,1009.41,0.94,1,AAPL:long:2.5980@81.8491,42.53,-0.13,
2020-02-13T00:00:00+00:00,1007.66,1007.66,0.77,0,No positions,0.00,0.00,
2020-02-14T00:00:00+00:00,1007.66,1007.66,0.77,0,No positions,0.00,0.00,
2020-02-18T00:00:00+00:00,950.09,1007.41,0.74,1,AAPL:long:3.6028@79.7978,57.50,-0.17,
2020-02-19T00:00:00+00:00,950.09,1011.56,1.16,1,AAPL:long:3.6028@79.7978,57.50,3.97,
2020-02-20T00:00:00+00:00,950.09,1008.57,0.86,1,AAPL:long:3.6028@79.7978,57.50,0.98,
