timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2008-01-02T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2008-01-03T00:00:00+00:00,848.20,999.87,-0.01,1,GOLD:long:0.5236@869.1000,151.68,-0.00,
2008-01-04T00:00:00+00:00,848.20,998.09,-0.19,1,GOLD:long:0.5236@869.1000,151.68,-1.78,
2008-01-07T00:00:00+00:00,995.91,995.91,-0.41,0,No positions,0.00,0.00,
2008-01-08T00:00:00+00:00,923.33,995.85,-0.42,1,GOLD:long:0.2471@880.3000,72.51,0.00,
2008-01-09T00:00:00+00:00,923.33,996.19,-0.38,1,GOLD:long:0.2471@880.3000,72.51,0.35,
2008-01-10T00:00:00+00:00,923.33,999.14,-0.09,1,GOLD:long:0.2471@880.3000,72.51,3.29,
2008-01-11T00:00:00+00:00,923.33,1000.15,0.01,1,GOLD:long:0.2471@880.3000,72.51,4.30,
2008-01-14T00:00:00+00:00,923.33,1001.56,0.16,1,GOLD:long:0.2471@880.3000,72.51,5.71,
2008-01-15T00:00:00+00:00,923.33,1001.36,0.14,1,GOLD:long:0.2471@880.3000,72.51,5.51,
2008-01-16T00:00:00+00:00,923.33,996.27,-0.37,1,GOLD:long:0.2471@880.3000,72.51,0.42,
2008-01-17T00:00:00+00:00,923.33,995.90,-0.41,1,GOLD:long:0.2471@880.3000,72.51,0.05,
2008-01-18T00:00:00+00:00,923.33,996.19,-0.38,1,GOLD:long:0.2471@880.3000,72.51,0.35,
2008-01-22T00:00:00+00:00,923.33,998.32,-0.17,1,GOLD:long:0.2471@880.3000,72.51,2.47,
2008-01-23T00:00:00+00:00,923.33,996.54,-0.35,1,GOLD:long:0.2471@880.3000,72.51,0.69,
2008-01-24T00:00:00+00:00,923.33,1002.15,0.22,1,GOLD:long:0.2471@880.3000,72.51,6.30,
2008-01-25T00:00:00+00:00,934.14,1005.44,0.54,1,GOLD:long:0.3914@910.7000,71.30,0.00,
2008-01-28T00:00:00+00:00,934.14,1011.86,1.19,1,GOLD:long:0.3914@910.7000,71.30,6.42,
2008-01-29T00:00:00+00:00,934.14,1011.08,1.11,1,GOLD:long:0.3914@910.7000,71.30,5.64,
2008-01-30T00:00:00+00:00,944.21,1014.66,1.47,1,GOLD:long:0.3802@926.3000,70.44,-0.00,
2008-01-31T00:00:00+00:00,944.21,1015.30,1.53,1,GOLD:long:0.3802@926.3000,70.44,0.65,
2008-02-01T00:00:00+00:00,1009.60,1009.60,0.96,0,No positions,0.00,0.00,
2008-02-04T00:00:00+00:00,1009.60,1009.60,0.96,0,No positions,0.00,0.00,
2008-02-05T00:00:00+00:00,921.76,1009.48,0.95,1,GOLD:long:0.4926@890.3000,87.71,-0.00,
2008-02-06T00:00:00+00:00,921.76,1016.72,1.67,1,GOLD:long:0.4926@890.3000,87.71,7.24,
2008-02-07T00:00:00+00:00,921.76,1019.18,1.92,1,GOLD:long:0.4926@890.3000,87.71,9.70,
2008-02-08T00:00:00+00:00,954.58,1023.77,2.38,1,GOLD:long:0.3751@922.3000,69.19,0.00,
2008-02-11T00:00:00+00:00,954.58,1025.42,2.54,1,GOLD:long:0.3751@922.3000,69.19,1.65,
2008-02-12T00:00:00+00:00,1019.38,1019.38,1.94,0,No positions,0.00,0.00,
2008-02-13T00:00:00+00:00,1019.38,1019.38,1.94,0,No positions,0.00,0.00,
2008-02-14T00:00:00+00:00,1019.38,1019.38,1.94,0,No positions,0.00,0.00,
2008-02-15T00:00:00+00:00,1019.38,1019.38,1.94,0,No positions,0.00,0.00,
2008-02-19T00:00:00+00:00,829.62,1019.11,1.91,1,GOLD:long:1.0190@929.8000,189.49,0.00,
2008-02-20T00:00:00+00:00,902.05,1008.26,0.83,1,GOLD:long:0.5663@937.8000,106.21,0.00,
2008-02-21T00:00:00+00:00,902.05,1014.72,1.47,1,GOLD:long:0.5663@937.8000,106.21,6.46,
2008-02-22T00:00:00+00:00,902.05,1013.92,1.39,1,GOLD:long:0.5663@937.8000,106.21,5.66,
2008-02-25T00:00:00+00:00,902.05,1009.79,0.98,1,GOLD:long:0.5663@937.8000,106.21,1.53,
2008-02-26T00:00:00+00:00,902.05,1014.55,1.45,1,GOLD:long:0.5663@937.8000,106.21,6.29,
2008-02-27T00:00:00+00:00,929.61,1023.24,2.32,1,GOLD:long:0.4871@961.0000,93.63,-0.00,
2008-02-28T00:00:00+00:00,929.61,1026.41,2.64,1,GOLD:long:0.4871@961.0000,93.63,3.17,
2008-02-29T00:00:00+00:00,929.61,1030.06,3.01,1,GOLD:long:0.4871@961.0000,93.63,6.82,
2008-03-03T00:00:00+00:00,929.61,1034.54,3.45,1,GOLD:long:0.4871@961.0000,93.63,11.30,
2008-03-04T00:00:00+00:00,929.61,1025.82,2.58,1,GOLD:long:0.4871@961.0000,93.63,2.58,
2008-03-05T00:00:00+00:00,929.61,1036.64,3.66,1,GOLD:long:0.4871@961.0000,93.63,13.40,
2008-03-06T00:00:00+00:00,929.61,1031.08,3.11,1,GOLD:long:0.4871@961.0000,93.63,7.84,
2008-03-07T00:00:00+00:00,929.61,1029.67,2.97,1,GOLD:long:0.4871@961.0000,93.63,6.43,
2008-03-10T00:00:00+00:00,929.61,1028.50,2.85,1,GOLD:long:0.4871@961.0000,93.63,5.26,
2008-03-11T00:00:00+00:00,929.61,1030.55,3.05,1,GOLD:long:0.4871@961.0000,93.63,7.31,
2008-03-12T00:00:00+00:00,929.61,1032.74,3.27,1,GOLD:long:0.4871@961.0000,93.63,9.50,
2008-03-13T00:00:00+00:00,969.96,1041.88,4.19,1,GOLD:long:0.3618@993.8000,71.91,0.00,
2008-03-14T00:00:00+00:00,969.96,1043.94,4.39,1,GOLD:long:0.3618@993.8000,71.91,2.06,
2008-03-17T00:00:00+00:00,959.41,1052.83,5.28,1,GOLD:long:0.4659@1002.6000,93.43,-0.00,
2008-03-18T00:00:00+00:00,933.46,1041.90,4.19,1,GOLD:long:0.5399@1004.3000,108.44,0.00,
2008-03-19T00:00:00+00:00,954.04,1031.08,3.11,1,GOLD:long:0.4075@945.3000,77.04,-0.00,
2008-03-20T00:00:00+00:00,926.50,1020.43,2.04,1,GOLD:long:0.5105@920.0000,93.93,0.00,
2008-03-24T00:00:00+00:00,1019.51,1019.51,1.95,0,No positions,0.00,0.00,
2008-03-25T00:00:00+00:00,1019.51,1019.51,1.95,0,No positions,0.00,0.00,
2008-03-26T00:00:00+00:00,1019.51,1019.51,1.95,0,No positions,0.00,0.00,
2008-03-27T00:00:00+00:00,1019.51,1019.51,1.95,0,No positions,0.00,0.00,
2008-03-28T00:00:00+00:00,947.39,1019.41,1.94,1,GOLD:long:0.3845@936.5000,72.02,0.00,
2008-03-31T00:00:00+00:00,1013.45,1013.45,1.34,0,No positions,0.00,0.00,
2008-04-01T00:00:00+00:00,940.82,1013.35,1.33,1,GOLD:long:0.4085@887.8000,72.53,-0.00,
2008-04-02T00:00:00+00:00,940.82,1018.41,1.84,1,GOLD:long:0.4085@887.8000,72.53,5.07,
2008-04-03T00:00:00+00:00,940.82,1022.25,2.23,1,GOLD:long:0.4085@887.8000,72.53,8.90,
2008-04-04T00:00:00+00:00,940.82,1023.72,2.37,1,GOLD:long:0.4085@887.8000,72.53,10.38,
2008-04-07T00:00:00+00:00,956.32,1027.42,2.74,1,GOLD:long:0.3836@926.8000,71.10,-0.00,
2008-04-08T00:00:00+00:00,1023.85,1023.85,2.39,0,No positions,0.00,0.00,
2008-04-09T00:00:00+00:00,959.77,1023.77,2.38,1,GOLD:long:0.3413@937.5000,64.00,0.00,
2008-04-10T00:00:00+00:00,1021.64,1021.64,2.16,0,No positions,0.00,0.00,
2008-04-11T00:00:00+00:00,1021.64,1021.64,2.16,0,No positions,0.00,0.00,
2008-04-14T00:00:00+00:00,1021.64,1021.64,2.16,0,No positions,0.00,0.00,
2008-04-15T00:00:00+00:00,1021.64,1021.64,2.16,0,No positions,0.00,0.00,
2008-04-16T00:00:00+00:00,953.06,1021.55,2.16,1,GOLD:long:0.3611@948.3000,68.49,0.00,
2008-04-17T00:00:00+00:00,1019.41,1019.41,1.94,0,No positions,0.00,0.00,
2008-04-18T00:00:00+00:00,926.95,1019.29,1.93,1,GOLD:long:0.5045@915.2000,92.34,0.00,
2008-04-21T00:00:00+00:00,926.95,1020.50,2.05,1,GOLD:long:0.5045@915.2000,92.34,1.21,
2008-04-22T00:00:00+00:00,926.95,1024.33,2.43,1,GOLD:long:0.5045@915.2000,92.34,5.04,
2008-04-23T00:00:00+00:00,1015.91,1015.91,1.59,0,No positions,0.00,0.00,
2008-04-24T00:00:00+00:00,922.62,1015.78,1.58,1,GOLD:long:0.5237@889.4000,93.16,0.00,
2008-04-25T00:00:00+00:00,922.62,1015.93,1.59,1,GOLD:long:0.5237@889.4000,93.16,0.16,
2008-04-28T00:00:00+00:00,922.62,1018.97,1.90,1,GOLD:long:0.5237@889.4000,93.16,3.19,
2008-04-29T00:00:00+00:00,1008.92,1008.92,0.89,0,No positions,0.00,0.00,
2008-04-30T00:00:00+00:00,959.12,1008.86,0.89,1,GOLD:long:0.2875@865.1000,49.74,0.00,
2008-05-01T00:00:00+00:00,1004.64,1004.64,0.46,0,No positions,0.00,0.00,
2008-05-02T00:00:00+00:00,942.96,1004.55,0.46,1,GOLD:long:0.3589@858.0000,61.59,0.00,
2008-05-05T00:00:00+00:00,942.96,1010.33,1.03,1,GOLD:long:0.3589@858.0000,61.59,5.78,
2008-05-06T00:00:00+00:00,1012.28,1012.28,1.23,0,No positions,0.00,0.00,
2008-05-07T00:00:00+00:00,1012.28,1012.28,1.23,0,No positions,0.00,0.00,
2008-05-08T00:00:00+00:00,1012.28,1012.28,1.23,0,No positions,0.00,0.00,
2008-05-09T00:00:00+00:00,1012.28,1012.28,1.23,0,No positions,0.00,0.00,
2008-05-12T00:00:00+00:00,1012.28,1012.28,1.23,0,No positions,0.00,0.00,
2008-05-13T00:00:00+00:00,940.63,1012.18,1.22,1,GOLD:long:0.4114@869.6000,71.55,0.00,
2008-05-14T00:00:00+00:00,1010.71,1010.71,1.07,0,No positions,0.00,0.00,
2008-05-15T00:00:00+00:00,921.62,1010.59,1.06,1,GOLD:long:0.5055@880.0000,88.97,-0.00,
2008-05-16T00:00:00+00:00,921.62,1020.65,2.06,1,GOLD:long:0.5055@880.0000,88.97,10.06,
2008-05-19T00:00:00+00:00,921.62,1023.63,2.36,1,GOLD:long:0.5055@880.0000,88.97,13.04,
2008-05-20T00:00:00+00:00,936.49,1030.43,3.04,1,GOLD:long:0.5104@920.2000,93.93,-0.00,
2008-05-21T00:00:00+00:00,936.49,1034.71,3.47,1,GOLD:long:0.5104@920.2000,93.93,4.29,
2008-05-22T00:00:00+00:00,1029.20,1029.20,2.92,0,No positions,0.00,0.00,
2008-05-23T00:00:00+00:00,908.44,1029.03,2.90,1,GOLD:long:0.6513@925.8000,120.59,-0.00,
2008-05-26T00:00:00+00:00,908.44,1031.12,3.11,1,GOLD:long:0.6513@925.8000,120.59,2.08,
2008-05-27T00:00:00+00:00,874.92,1018.22,1.82,1,GOLD:long:0.7891@907.9000,143.29,0.00,
2008-05-28T00:00:00+00:00,919.06,1007.52,0.75,1,GOLD:long:0.4912@900.5000,88.47,-0.00,
2008-05-29T00:00:00+00:00,846.74,997.01,-0.30,1,GOLD:long:0.8521@881.7000,150.27,-0.00,
2008-05-30T00:00:00+00:00,846.74,1005.36,0.54,1,GOLD:long:0.8521@881.7000,150.27,8.35,
2008-06-02T00:00:00+00:00,846.74,1010.04,1.00,1,GOLD:long:0.8521@881.7000,150.27,13.04,
2008-06-03T00:00:00+00:00,846.74,1000.24,0.02,1,GOLD:long:0.8521@881.7000,150.27,3.24,
2008-06-04T00:00:00+00:00,846.74,998.80,-0.12,1,GOLD:long:0.8521@881.7000,150.27,1.79,
2008-06-05T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-06T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-09T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-10T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-11T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-12T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-13T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-16T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-17T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-18T00:00:00+00:00,986.63,986.63,-1.34,0,No positions,0.00,0.00,
2008-06-19T00:00:00+00:00,927.05,986.54,-1.35,1,GOLD:long:0.3290@904.2000,59.50,-0.00,
2008-06-20T00:00:00+00:00,986.22,986.22,-1.38,0,No positions,0.00,0.00,
2008-06-23T00:00:00+00:00,921.81,986.13,-1.39,1,GOLD:long:0.3625@887.2000,64.32,0.00,
2008-06-24T00:00:00+00:00,921.81,987.72,-1.23,1,GOLD:long:0.3625@887.2000,64.32,1.60,
2008-06-25T00:00:00+00:00,921.81,984.35,-1.56,1,GOLD:long:0.3625@887.2000,64.32,-1.78,
2008-06-26T00:00:00+00:00,945.74,997.77,-0.22,1,GOLD:long:0.2843@915.1000,52.03,0.00,
2008-06-27T00:00:00+00:00,945.74,1002.37,0.24,1,GOLD:long:0.2843@915.1000,52.03,4.61,
2008-06-30T00:00:00+00:00,945.74,1001.52,0.15,1,GOLD:long:0.2843@915.1000,52.03,3.75,
2008-07-01T00:00:00+00:00,945.74,1006.12,0.61,1,GOLD:long:0.2843@915.1000,52.03,8.36,
2008-07-02T00:00:00+00:00,945.74,1006.69,0.67,1,GOLD:long:0.2843@915.1000,52.03,8.93,
2008-07-03T00:00:00+00:00,911.97,1007.41,0.74,1,GOLD:long:0.5112@933.6000,95.44,0.00,
2008-07-04T00:00:00+00:00,911.97,1008.48,0.85,1,GOLD:long:0.5112@933.6000,95.44,1.07,
2008-07-07T00:00:00+00:00,911.97,1004.96,0.50,1,GOLD:long:0.5112@933.6000,95.44,-2.45,
2008-07-08T00:00:00+00:00,997.07,997.07,-0.29,0,No positions,0.00,0.00,
2008-07-09T00:00:00+00:00,997.07,997.07,-0.29,0,No positions,0.00,0.00,
2008-07-10T00:00:00+00:00,938.29,996.99,-0.30,1,GOLD:long:0.3116@942.0000,58.70,0.00,
2008-07-11T00:00:00+00:00,938.29,1002.79,0.28,1,GOLD:long:0.3116@942.0000,58.70,5.80,
2008-07-14T00:00:00+00:00,938.29,1006.87,0.69,1,GOLD:long:0.3116@942.0000,58.70,9.88,
2008-07-15T00:00:00+00:00,903.01,1008.52,0.85,1,GOLD:long:0.5390@978.7000,105.51,0.00,
2008-07-16T00:00:00+00:00,928.55,998.06,-0.19,1,GOLD:long:0.3610@962.7000,69.51,-0.00,
2008-07-17T00:00:00+00:00,928.55,1000.95,0.09,1,GOLD:long:0.3610@962.7000,69.51,2.89,
2008-07-18T00:00:00+00:00,996.17,996.17,-0.38,0,No positions,0.00,0.00,
2008-07-21T00:00:00+00:00,996.17,996.17,-0.38,0,No positions,0.00,0.00,
2008-07-22T00:00:00+00:00,929.78,996.08,-0.39,1,GOLD:long:0.3495@948.5000,66.30,-0.00,
2008-07-23T00:00:00+00:00,920.39,985.85,-1.42,1,GOLD:long:0.3547@922.8000,65.46,0.00,
2008-07-24T00:00:00+00:00,985.49,985.49,-1.45,0,No positions,0.00,0.00,
2008-07-25T00:00:00+00:00,985.49,985.49,-1.45,0,No positions,0.00,0.00,
2008-07-28T00:00:00+00:00,985.49,985.49,-1.45,0,No positions,0.00,0.00,
2008-07-29T00:00:00+00:00,985.49,985.49,-1.45,0,No positions,0.00,0.00,
2008-07-30T00:00:00+00:00,985.49,985.49,-1.45,0,No positions,0.00,0.00,
2008-07-31T00:00:00+00:00,882.65,985.35,-1.46,1,GOLD:long:0.5565@922.7000,102.70,0.00,
2008-08-01T00:00:00+00:00,982.17,982.17,-1.78,0,No positions,0.00,0.00,
2008-08-04T00:00:00+00:00,924.22,982.10,-1.79,1,GOLD:long:0.3187@907.9000,57.87,0.00,
2008-08-05T00:00:00+00:00,974.99,974.99,-2.50,0,No positions,0.00,0.00,
2008-08-06T00:00:00+00:00,974.99,974.99,-2.50,0,No positions,0.00,0.00,
2008-08-07T00:00:00+00:00,913.55,974.91,-2.51,1,GOLD:long:0.3495@877.9000,61.36,-0.00,
2008-08-08T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-11T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-12T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-13T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-14T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-15T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-18T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-19T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-20T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-21T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-22T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-25T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-26T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-27T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-28T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-08-29T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-09-02T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-09-03T00:00:00+00:00,970.16,970.16,-2.98,0,No positions,0.00,0.00,
2008-09-04T00:00:00+00:00,902.90,970.07,-2.99,1,GOLD:long:0.4181@803.2000,67.16,0.00,
2008-09-05T00:00:00+00:00,888.66,976.78,-2.32,1,GOLD:long:0.5489@802.8000,88.13,-0.00,
2008-09-08T00:00:00+00:00,892.96,983.11,-1.69,1,GOLD:long:0.5617@802.5000,90.16,0.00,
2008-09-09T00:00:00+00:00,924.81,972.97,-2.70,1,GOLD:long:0.3041@792.0000,48.16,-0.00,
2008-09-10T00:00:00+00:00,928.51,963.06,-3.69,1,GOLD:long:0.2266@762.5000,34.55,-0.00,
2008-09-11T00:00:00+00:00,959.12,959.12,-4.09,0,No positions,0.00,0.00,
2008-09-12T00:00:00+00:00,899.19,959.04,-4.10,1,GOLD:long:0.3914@764.5000,59.85,0.00,
2008-09-15T00:00:00+00:00,899.19,967.84,-3.22,1,GOLD:long:0.3914@764.5000,59.85,8.81,
2008-09-16T00:00:00+00:00,899.19,965.30,-3.47,1,GOLD:long:0.3914@764.5000,59.85,6.26,
2008-09-17T00:00:00+00:00,922.11,976.60,-2.34,1,GOLD:long:0.3203@850.5000,54.49,0.00,
