timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2008-01-02T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2008-01-03T00:00:00+00:00,913.12,999.40,-0.06,1,GOLD:long:0.4986@870.0560,86.76,-0.48,
2008-01-04T00:00:00+00:00,913.12,997.71,-0.23,1,GOLD:long:0.4986@870.0560,86.76,-2.17,
2008-01-07T00:00:00+00:00,913.12,995.86,-0.41,1,GOLD:long:0.4986@870.0560,86.76,-4.02,
2008-01-08T00:00:00+00:00,913.12,1004.99,0.50,1,GOLD:long:0.4986@870.0560,86.76,5.11,
2008-01-09T00:00:00+00:00,983.62,1008.75,0.87,1,GOLD:long:0.2879@882.6699,25.41,-0.28,
2008-01-10T00:00:00+00:00,983.62,1012.17,1.22,1,GOLD:long:0.2879@882.6699,25.41,3.15,
2008-01-11T00:00:00+00:00,983.62,1013.35,1.34,1,GOLD:long:0.2879@882.6699,25.41,4.33,
2008-01-14T00:00:00+00:00,929.04,1016.18,1.62,1,GOLD:long:0.4844@904.3937,87.62,-0.48,
2008-01-15T00:00:00+00:00,929.04,1015.79,1.58,1,GOLD:long:0.4844@904.3937,87.62,-0.87,
2008-01-16T00:00:00+00:00,952.15,1005.41,0.54,1,GOLD:long:0.3033@882.9702,53.56,-0.29,
2008-01-17T00:00:00+00:00,952.15,1004.96,0.50,1,GOLD:long:0.3033@882.9702,53.56,-0.75,
2008-01-18T00:00:00+00:00,952.15,1005.32,0.53,1,GOLD:long:0.3033@882.9702,53.56,-0.39,
2008-01-22T00:00:00+00:00,900.70,994.89,-0.51,1,GOLD:long:0.3181@891.2793,94.51,-0.31,
2008-01-23T00:00:00+00:00,900.70,992.60,-0.74,1,GOLD:long:0.3181@891.2793,94.51,-2.60,
2008-01-24T00:00:00+00:00,900.70,999.82,-0.02,1,GOLD:long:0.3181@891.2793,94.51,4.62,
2008-01-25T00:00:00+00:00,930.92,1003.56,0.36,1,GOLD:long:0.2398@911.7018,72.87,-0.24,
2008-01-28T00:00:00+00:00,930.92,1007.49,0.75,1,GOLD:long:0.2398@911.7018,72.87,3.69,
2008-01-29T00:00:00+00:00,930.92,1007.01,0.70,1,GOLD:long:0.2398@911.7018,72.87,3.21,
2008-01-30T00:00:00+00:00,930.92,1007.30,0.73,1,GOLD:long:0.2398@911.7018,72.87,3.50,
2008-01-31T00:00:00+00:00,930.92,1007.71,0.77,1,GOLD:long:0.2398@911.7018,72.87,3.91,
2008-02-01T00:00:00+00:00,930.92,1004.23,0.42,1,GOLD:long:0.2398@911.7018,72.87,0.43,
2008-02-04T00:00:00+00:00,930.92,1003.25,0.32,1,GOLD:long:0.2398@911.7018,72.87,-0.55,
2008-02-05T00:00:00+00:00,998.31,998.31,-0.17,0,No positions,0.00,0.00,
2008-02-06T00:00:00+00:00,929.00,997.84,-0.22,1,GOLD:long:0.3820@905.9955,69.22,-0.38,
2008-02-07T00:00:00+00:00,929.00,999.75,-0.03,1,GOLD:long:0.3820@905.9955,69.22,1.53,
2008-02-08T00:00:00+00:00,929.00,1004.45,0.44,1,GOLD:long:0.3820@905.9955,69.22,6.23,
2008-02-11T00:00:00+00:00,929.00,1006.13,0.61,1,GOLD:long:0.3820@905.9955,69.22,7.91,
2008-02-12T00:00:00+00:00,929.00,1000.17,0.02,1,GOLD:long:0.3820@905.9955,69.22,1.95,
2008-02-13T00:00:00+00:00,929.00,999.82,-0.02,1,GOLD:long:0.3820@905.9955,69.22,1.61,
2008-02-14T00:00:00+00:00,929.00,1000.05,0.01,1,GOLD:long:0.3820@905.9955,69.22,1.84,
2008-02-15T00:00:00+00:00,929.00,998.26,-0.17,1,GOLD:long:0.3820@905.9955,69.22,0.04,
2008-02-19T00:00:00+00:00,929.00,1007.31,0.73,1,GOLD:long:0.3820@905.9955,69.22,9.09,
2008-02-20T00:00:00+00:00,948.87,1008.30,0.83,1,GOLD:long:0.3183@938.8316,59.76,-0.33,
2008-02-21T00:00:00+00:00,948.87,1011.93,1.19,1,GOLD:long:0.3183@938.8316,59.76,3.30,
2008-02-22T00:00:00+00:00,948.87,1011.48,1.15,1,GOLD:long:0.3183@938.8316,59.76,2.85,
2008-02-25T00:00:00+00:00,948.87,1009.16,0.92,1,GOLD:long:0.3183@938.8316,59.76,0.53,
2008-02-26T00:00:00+00:00,948.87,1011.83,1.18,1,GOLD:long:0.3183@938.8316,59.76,3.20,
2008-02-27T00:00:00+00:00,956.02,1016.73,1.67,1,GOLD:long:0.3172@962.0571,61.04,-0.34,
2008-02-28T00:00:00+00:00,956.02,1018.79,1.88,1,GOLD:long:0.3172@962.0571,61.04,1.73,
2008-02-29T00:00:00+00:00,956.02,1021.17,2.12,1,GOLD:long:0.3172@962.0571,61.04,4.11,
