timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2020-01-02T00:00:00+00:00,917.06,999.15,-0.08,1,AAPL:long:3.5616@69.8077,82.88,-0.78,
2020-01-03T00:00:00+00:00,931.57,1006.05,0.60,1,AAPL:long:3.1224@72.2251,75.17,-0.70,
2020-01-06T00:00:00+00:00,931.57,1010.20,1.02,1,AAPL:long:3.1224@72.2251,75.17,3.46,
2020-01-07T00:00:00+00:00,931.57,1007.01,0.70,1,AAPL:long:3.1224@72.2251,75.17,0.27,
2020-01-08T00:00:00+00:00,931.57,1009.75,0.98,1,AAPL:long:3.1224@72.2251,75.17,3.01,
2020-01-09T00:00:00+00:00,991.57,1014.20,1.42,1,AAPL:long:1.5407@74.5881,22.98,-0.35,
2020-01-10T00:00:00+00:00,991.57,1015.31,1.53,1,AAPL:long:1.5407@74.5881,22.98,0.76,
2020-01-13T00:00:00+00:00,991.57,1016.84,1.68,1,AAPL:long:1.5407@74.5881,22.98,2.29,
2020-01-14T00:00:00+00:00,991.57,1018.92,1.89,1,AAPL:long:1.5407@74.5881,22.98,4.37,
2020-01-15T00:00:00+00:00,991.57,1020.95,2.09,1,AAPL:long:1.5407@74.5881,22.98,6.40,
2020-01-16T00:00:00+00:00,1021.70,1021.70,2.17,0,No positions,0.00,0.00,
2020-01-17T00:00:00+00:00,1021.70,1021.70,2.17,0,No positions,0.00,0.00,
2020-01-21T00:00:00+00:00,1021.70,1021.70,2.17,0,No positions,0.00,0.00,
2020-01-22T00:00:00+00:00,1021.70,1021.70,2.17,0,No positions,0.00,0.00,
2020-01-23T00:00:00+00:00,979.26,1020.76,2.08,1,AAPL:long:1.3908@152.3485,42.38,-0.88,
2020-01-24T00:00:00+00:00,1018.78,1018.78,1.88,0,No positions,0.00,0.00,
2020-01-27T00:00:00+00:00,973.78,1017.87,1.79,1,AAPL:long:1.4793@151.8885,44.94,-0.85,
2020-01-28T00:00:00+00:00,1015.68,1015.68,1.57,0,No positions,0.00,0.00,
2020-01-29T00:00:00+00:00,963.57,1014.71,1.47,1,AAPL:long:1.7183@151.4129,52.03,-0.89,
2020-01-30T00:00:00+00:00,1008.47,1008.47,0.85,0,No positions,0.00,0.00,
2020-01-31T00:00:00+00:00,1008.47,1008.47,0.85,0,No positions,0.00,0.00,
2020-02-03T00:00:00+00:00,1008.47,1008.47,0.85,0,No positions,0.00,0.00,
2020-02-04T00:00:00+00:00,969.61,1007.37,0.74,1,AAPL:long:1.5330@126.5752,38.81,-1.04,
2020-02-05T00:00:00+00:00,1004.60,1004.60,0.46,0,No positions,0.00,0.00,
