timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2022-01-03T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2022-01-04T00:00:00+00:00,926.24,999.48,-0.05,1,GOLD:short:0.1940@1898.4516,73.66,-0.41,
2022-01-05T00:00:00+00:00,926.24,1002.33,0.23,1,GOLD:short:0.1940@1898.4516,73.66,2.43,
2022-01-06T00:00:00+00:00,926.24,1000.79,0.08,1,GOLD:short:0.1940@1898.4516,73.66,0.89,
2022-01-07T00:00:00+00:00,926.24,999.83,-0.02,1,GOLD:short:0.1940@1898.4516,73.66,-0.07,
2022-01-10T00:00:00+00:00,994.45,994.45,-0.55,0,No positions,0.00,0.00,
2022-01-11T00:00:00+00:00,994.45,994.45,-0.55,0,No positions,0.00,0.00,
2022-01-12T00:00:00+00:00,994.45,994.45,-0.55,0,No positions,0.00,0.00,
2022-01-13T00:00:00+00:00,856.83,993.51,-0.65,1,GOLD:long:0.3546@1938.0336,137.44,-0.75,
2022-01-14T00:00:00+00:00,856.83,1000.43,0.04,1,GOLD:long:0.3546@1938.0336,137.44,6.17,
2022-01-17T00:00:00+00:00,982.61,982.61,-1.74,0,No positions,0.00,0.00,
2022-01-18T00:00:00+00:00,908.05,982.07,-1.79,1,GOLD:long:0.1295@1725.9114,74.50,-0.48,
2022-01-19T00:00:00+00:00,908.05,986.19,-1.38,1,GOLD:long:0.1295@1725.9114,74.50,3.64,
2022-01-20T00:00:00+00:00,908.05,988.80,-1.12,1,GOLD:long:0.1295@1725.9114,74.50,6.25,
2022-01-21T00:00:00+00:00,908.05,988.94,-1.11,1,GOLD:long:0.1295@1725.9114,74.50,6.39,
2022-01-24T00:00:00+00:00,908.05,987.05,-1.29,1,GOLD:long:0.1295@1725.9114,74.50,4.50,
2022-01-25T00:00:00+00:00,908.05,991.02,-0.90,1,GOLD:long:0.1295@1725.9114,74.50,8.47,
2022-01-26T00:00:00+00:00,908.05,990.82,-0.92,1,GOLD:long:0.1295@1725.9114,74.50,8.26,
2022-01-27T00:00:00+00:00,991.59,991.59,-0.84,0,No positions,0.00,0.00,
2022-01-28T00:00:00+00:00,991.59,991.59,-0.84,0,No positions,0.00,0.00,
2022-01-31T00:00:00+00:00,898.23,990.56,-0.94,1,GOLD:long:0.2507@1859.5547,93.23,-0.90,
2022-02-01T00:00:00+00:00,898.23,991.54,-0.85,1,GOLD:long:0.2507@1859.5547,93.23,0.08,
2022-02-02T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-03T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-04T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-07T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-08T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-09T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-10T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-11T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-14T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-15T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-16T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-17T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-18T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-21T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-22T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-23T00:00:00+00:00,985.33,985.33,-1.47,0,No positions,0.00,0.00,
2022-02-24T00:00:00+00:00,904.27,984.55,-1.55,1,GOLD:long:0.2296@1762.9063,80.94,-0.67,
2022-02-28T00:00:00+00:00,978.79,978.79,-2.12,0,No positions,0.00,0.00,
2022-03-01T00:00:00+00:00,899.67,977.76,-2.22,1,GOLD:long:0.2028@1948.2823,79.01,-0.92,
2022-03-02T00:00:00+00:00,899.67,984.95,-1.50,1,GOLD:long:0.2028@1948.2823,79.01,6.27,
2022-03-03T00:00:00+00:00,899.67,979.33,-2.07,1,GOLD:long:0.2028@1948.2823,79.01,0.65,
2022-03-07T00:00:00+00:00,976.57,976.57,-2.34,0,No positions,0.00,0.00,
2022-03-08T00:00:00+00:00,976.57,976.57,-2.34,0,No positions,0.00,0.00,
2022-03-09T00:00:00+00:00,976.57,976.57,-2.34,0,No positions,0.00,0.00,
2022-03-10T00:00:00+00:00,976.57,976.57,-2.34,0,No positions,0.00,0.00,
2022-03-14T00:00:00+00:00,976.57,976.57,-2.34,0,No positions,0.00,0.00,
2022-03-15T00:00:00+00:00,976.57,976.57,-2.34,0,No positions,0.00,0.00,
2022-03-16T00:00:00+00:00,976.57,976.57,-2.34,0,No positions,0.00,0.00,
2022-03-17T00:00:00+00:00,870.24,975.44,-2.46,1,GOLD:long:0.2729@1945.8054,106.19,-0.99,
2022-03-21T00:00:00+00:00,981.71,981.71,-1.83,0,No positions,0.00,0.00,
2022-03-22T00:00:00+00:00,910.92,980.94,-1.91,1,GOLD:long:0.1762@2005.7034,70.70,-0.68,
2022-03-23T00:00:00+00:00,801.65,968.96,-3.10,1,GOLD:long:0.4317@1957.4881,169.03,-1.72,
2022-03-24T00:00:00+00:00,801.65,978.89,-2.11,1,GOLD:long:0.4317@1957.4881,169.03,8.21,
2022-03-28T00:00:00+00:00,801.65,975.58,-2.44,1,GOLD:long:0.4317@1957.4881,169.03,4.91,
2022-03-29T00:00:00+00:00,861.13,979.18,-2.08,1,GOLD:long:0.2990@1992.7756,119.17,-1.12,
2022-03-30T00:00:00+00:00,969.02,969.02,-3.10,0,No positions,0.00,0.00,
2022-03-31T00:00:00+00:00,883.95,968.07,-3.19,1,GOLD:long:0.2090@2032.5973,84.96,-0.83,
2022-04-04T00:00:00+00:00,966.52,966.52,-3.35,0,No positions,0.00,0.00,
2022-04-05T00:00:00+00:00,851.06,965.08,-3.49,1,GOLD:long:0.2960@1947.6360,115.30,-1.28,
2022-04-06T00:00:00+00:00,959.45,959.45,-4.06,0,No positions,0.00,0.00,
2022-04-07T00:00:00+00:00,959.45,959.45,-4.06,0,No positions,0.00,0.00,
2022-04-11T00:00:00+00:00,959.45,959.45,-4.06,0,No positions,0.00,0.00,
2022-04-12T00:00:00+00:00,959.45,959.45,-4.06,0,No positions,0.00,0.00,
2022-04-13T00:00:00+00:00,845.76,958.06,-4.19,1,GOLD:long:0.2953@1922.4795,113.53,-1.23,
2022-04-18T00:00:00+00:00,846.15,946.85,-5.31,1,GOLD:long:0.2716@1874.9034,101.85,-1.15,
2022-04-19T00:00:00+00:00,846.15,948.76,-5.12,1,GOLD:long:0.2716@1874.9034,101.85,0.76,
2022-04-20T00:00:00+00:00,846.15,950.66,-4.93,1,GOLD:long:0.2716@1874.9034,101.85,2.66,
2022-04-21T00:00:00+00:00,945.13,945.13,-5.49,0,No positions,0.00,0.00,
2022-04-25T00:00:00+00:00,945.13,945.13,-5.49,0,No positions,0.00,0.00,
2022-04-26T00:00:00+00:00,945.13,945.13,-5.49,0,No positions,0.00,0.00,
2022-04-27T00:00:00+00:00,945.13,945.13,-5.49,0,No positions,0.00,0.00,
2022-04-28T00:00:00+00:00,843.20,943.91,-5.61,1,GOLD:long:0.2549@1997.0801,101.79,-1.08,
2022-05-02T00:00:00+00:00,821.15,952.76,-4.72,1,GOLD:long:0.3257@2043.8323,133.13,-1.51,
2022-05-03T00:00:00+00:00,836.95,941.31,-5.87,1,GOLD:long:0.2647@1995.6205,105.66,-1.30,
2022-05-04T00:00:00+00:00,836.95,943.35,-5.66,1,GOLD:long:0.2647@1995.6205,105.66,0.74,
2022-05-05T00:00:00+00:00,808.51,929.90,-7.01,1,GOLD:long:0.3120@1969.8716,122.92,-1.53,
2022-05-09T00:00:00+00:00,812.28,918.69,-8.13,1,GOLD:long:0.2788@1932.9967,107.79,-1.38,
2022-05-10T00:00:00+00:00,909.21,909.21,-9.08,0,No positions,0.00,0.00,
