"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2008","860.00","837.50","864.90","837.50","137.80K","2.63%"
"01/03/2008","869.10","861.50","872.90","856.50","136.25K","1.06%"
"01/04/2008","865.70","866.10","871.80","857.00","122.76K","-0.39%"
"01/07/2008","862.00","862.80","867.80","857.80","89.73K","-0.43%"
"01/08/2008","880.30","860.70","884.00","859.40","125.47K","2.12%"
"01/09/2008","881.70","880.30","894.40","873.80","137.27K","0.16%"
"01/10/2008","893.60","881.00","897.30","867.80","180.84K","1.35%"
"01/11/2008","897.70","896.80","900.10","888.80","125.40K","0.46%"
"01/14/2008","903.40","899.40","915.90","893.10","135.00K","0.63%"
"01/15/2008","902.60","904.60","916.10","888.60","166.33K","-0.09%"
"01/16/2008","882.00","890.60","901.00","875.00","203.12K","-2.28%"
"01/17/2008","880.50","878.10","891.50","875.20","127.24K","-0.17%"
"01/18/2008","881.70","879.80","889.40","870.60","113.55K","0.14%"
"01/22/2008","890.30","882.00","895.60","849.50","274.25K","0.98%"
"01/23/2008","883.10","893.50","896.50","876.60","166.82K","-0.81%"
"01/24/2008","905.80","892.20","914.20","889.40","165.39K","2.57%"
"01/25/2008","910.70","914.10","924.30","906.00","155.34K","0.54%"
"01/28/2008","927.10","912.50","929.80","912.50","169.89K","1.80%"
"01/29/2008","925.10","928.50","933.30","919.60","157.69K","-0.22%"
"01/30/2008","926.30","930.10","942.20","921.10","130.24K","0.13%"
"01/31/2008","928.00","933.10","934.00","923.00","101.35K","0.18%"
"02/01/2008","913.50","929.80","941.80","908.00","186.32K","-1.56%"
"02/04/2008","909.40","910.50","917.40","896.10","123.84K","-0.45%"
"02/05/2008","890.30","907.50","911.30","888.40","152.82K","-2.10%"
"02/06/2008","905.00","892.90","912.00","890.00","124.14K","1.65%"
"02/07/2008","910.00","904.40","916.00","900.10","123.22K","0.55%"
"02/08/2008","922.30","914.80","927.30","911.30","98.05K","1.35%"
"02/11/2008","926.70","924.10","931.00","919.60","87.88K","0.48%"
"02/12/2008","911.10","926.00","928.50","906.00","122.52K","-1.68%"
"02/13/2008","910.20","909.80","914.50","899.50","108.82K","-0.10%"
"02/14/2008","910.80","909.50","917.30","904.80","90.86K","0.07%"
"02/15/2008","906.10","911.20","919.00","900.60","93.91K","-0.52%"
"02/19/2008","929.80","905.10","934.40","903.20","133.50K","2.62%"
"02/20/2008","937.80","930.60","949.20","916.10","131.90K","0.86%"
"02/21/2008","949.20","947.00","958.40","941.00","128.01K","1.22%"
"02/22/2008","947.80","948.50","953.00","938.10","102.15K","-0.15%"
"02/25/2008","940.50","948.00","954.90","935.50","120.12K","-0.77%"
"02/26/2008","948.90","940.30","953.20","928.90","111.10K","0.89%"
"02/27/2008","961.00","951.80","967.70","951.80","128.04K","1.28%"
"02/28/2008","967.50","961.20","975.00","955.50","120.56K","0.68%"
"02/29/2008","975.00","973.10","978.50","966.20","118.01K","0.78%"
"03/03/2008","984.20","975.60","991.90","975.50","125.17K","0.94%"
"03/04/2008","966.30","985.70","990.30","958.30","165.21K","-1.82%"
"03/05/2008","988.50","966.90","995.20","960.70","154.17K","2.30%"
"03/06/2008","977.10","991.00","994.30","966.50","171.61K","-1.15%"
"03/07/2008","974.20","977.50","990.70","971.00","144.06K","-0.30%"
"03/10/2008","971.80","975.30","982.80","961.90","126.79K","-0.25%"
"03/11/2008","976.00","974.90","987.80","966.00","157.01K","0.43%"
"03/12/2008","980.50","974.10","985.00","969.50","111.27K","0.46%"
"03/13/2008","993.80","984.90","1,001.50","982.70","142.87K","1.36%"
"03/14/2008","999.50","997.20","1,009.00","991.70","160.29K","0.57%"
"03/17/2008","1,002.60","1,004.50","1,033.90","994.10","225.44K","0.31%"
"03/18/2008","1,004.30","1,003.70","1,013.40","976.80","169.34K","0.17%"
"03/19/2008","945.30","982.90","997.80","937.50","295.22K","-5.87%"
"03/20/2008","920.00","942.90","943.80","904.70","230.12K","-2.68%"
"03/24/2008","918.70","918.30","927.50","906.20","94.06K","-0.14%"
"03/25/2008","935.00","915.40","939.50","911.90","158.06K","1.77%"
"03/26/2008","949.20","939.10","954.90","934.70","175.12K","1.52%"
"03/27/2008","948.80","954.20","955.20","940.10","145.63K","-0.04%"
"03/28/2008","936.50","952.80","956.30","928.00","123.56K","-1.30%"
"03/31/2008","921.50","936.40","945.70","917.10","118.96K","-1.60%"
"04/01/2008","887.80","920.50","925.70","876.30","190.15K","-3.66%"
"04/02/2008","900.20","888.00","911.50","885.10","121.64K","1.40%"
"04/03/2008","909.60","906.60","913.20","892.00","118.28K","1.04%"
"04/04/2008","913.20","907.70","919.00","903.00","92.60K","0.40%"
"04/07/2008","926.80","917.00","933.70","914.40","95.88K","1.49%"
"04/08/2008","918.00","923.90","929.70","911.40","96.19K","-0.95%"
"04/09/2008","937.50","919.10","939.60","906.60","128.86K","2.12%"
"04/10/2008","931.80","937.50","943.40","925.40","122.17K","-0.61%"
"04/11/2008","927.00","932.70","935.80","920.50","89.35K","-0.52%"
"04/14/2008","928.70","924.20","935.40","917.50","80.12K","0.18%"
"04/15/2008","932.00","928.00","939.80","926.10","88.69K","0.36%"
"04/16/2008","948.30","931.30","952.70","927.30","122.10K","1.75%"
"04/17/2008","942.90","948.50","956.20","940.30","102.95K","-0.57%"
"04/18/2008","915.20","944.10","949.80","907.30","149.07K","-2.94%"
"04/21/2008","917.60","920.10","931.90","914.00","116.79K","0.26%"
"04/22/2008","925.20","919.00","928.50","914.40","94.21K","0.83%"
"04/23/2008","909.00","919.40","925.70","899.20","157.10K","-1.75%"
"04/24/2008","889.40","906.90","909.30","885.40","143.70K","-2.16%"
"04/25/2008","889.70","888.70","899.00","880.00","115.03K","0.03%"
"04/28/2008","895.50","890.00","898.10","888.80","83.08K","0.65%"
"04/29/2008","876.80","895.60","895.80","870.30","118.11K","-2.09%"
"04/30/2008","865.10","872.20","880.80","864.10","133.21K","-1.33%"
"05/01/2008","850.90","879.00","883.60","848.50","142.83K","-1.64%"
"05/02/2008","858.00","853.80","860.90","846.40","103.60K","0.83%"
"05/05/2008","874.10","859.20","876.00","858.70","83.72K","1.88%"
"05/06/2008","877.70","875.40","884.50","872.60","108.03K","0.41%"
"05/07/2008","871.20","877.40","883.30","864.40","99.98K","-0.74%"
"05/08/2008","882.10","870.10","887.00","866.40","123.11K","1.25%"
"05/09/2008","885.80","885.50","890.80","871.00","116.62K","0.42%"
"05/12/2008","884.90","884.30","890.80","878.50","89.45K","-0.10%"
"05/13/2008","869.60","884.00","887.20","861.40","141.56K","-1.73%"
"05/14/2008","866.50","867.20","871.70","860.00","94.94K","-0.36%"
"05/15/2008","880.00","865.60","888.50","862.30","149.38K","1.56%"
"05/16/2008","899.90","882.90","905.60","880.50","139.91K","2.26%"
"05/19/2008","905.80","903.20","914.20","900.80","97.21K","0.66%"
