Date,Price,Open,High,Low,Vol.,Change %
01/02/2004,9.274604540198414,9.166114123715852,9.274604540198414,9.10869341449806,433.57M,0.00%
01/05/2004,9.188729351072237,9.225814987779618,9.347143580020447,9.099702831275962,562.88M,-0.93%
01/06/2004,8.995822719957525,9.133569864970436,9.154527989480826,8.800565794931572,1.19B,-2.10%
01/07/2004,9.043752959603363,8.907058896391941,9.141009220949089,8.898417598394035,812.17M,0.53%
01/08/2004,8.977897302694984,8.876500193955758,9.190990098918821,8.823402071166063,824.86M,-0.73%
01/09/2004,8.917911498344013,9.028480941643544,9.102975805948443,8.862492902185283,1.04B,-0.67%
01/12/2004,8.783849696392,8.929352465247371,8.929352465247371,8.570585464992744,1.02B,-1.50%
01/13/2004,9.006906912562375,8.6742290076988,9.022941501186708,8.566035134562078,1.07B,2.54%
01/14/2004,9.07573717257571,9.463046810440934,9.463046810440934,9.058544269343056,1.19B,0.76%
01/15/2004,9.25501868040317,9.198697927336491,9.297604744004408,9.11557561492805,645.32M,1.98%
01/16/2004,47.73786717099128,48.9080460538671,49.46556209580113,47.67425978505621,169.63M,415.81%
01/20/2004,47.16802221292902,47.91512226931066,48.03085916286524,46.72253901124841,175.38M,-1.19%
01/21/2004,46.71129963808214,47.92042091274272,48.156552248975714,46.19268072970118,199.20M,-0.97%
01/22/2004,47.02984623487173,47.17878372427261,47.41789528560026,46.69352036155973,119.39M,0.68%
01/23/2004,47.09861837666203,47.24361901248813,47.429001429375035,46.91844036435322,83.12M,0.15%
01/26/2004,47.46329696523635,47.43571170154006,47.5219740682636,47.17459646424323,94.26M,0.77%
01/27/2004,47.761576544136815,47.809161451181,47.86854863881022,47.06759133183807,111.45M,0.63%
01/28/2004,48.52524413810419,47.86755483878624,48.64228341820028,47.750514761060316,91.06M,1.60%
01/29/2004,48.79565210415154,48.317503750711325,49.09488151936576,48.242196989534094,93.09M,0.56%
01/30/2004,48.85091010293068,48.719389771811464,49.178093224807576,48.26983763788567,76.46M,0.11%
02/02/2004,1.9328287021240185,1.9298882380427376,1.9429969924370911,1.8912929584328666,1.04B,-96.04%
02/03/2004,1.9095687672660706,1.9285812245746015,1.9411719490071295,1.880253016575447,617.01M,-1.20%
02/04/2004,1.8601256024607198,1.8996467434861972,1.9326267429402055,1.8601256024607198,609.61M,-2.59%
02/05/2004,1.9572074935550217,1.8570251257423187,1.9601269910462416,1.827911209100224,1.01B,5.22%
02/06/2004,1.9989112345509497,1.9544403186712038,2.0215461837386375,1.9409704624003545,1.36B,2.13%
02/09/2004,1.9902207359535224,2.027493940643202,2.032999772199463,1.9775283604522989,796.81M,-0.43%
02/10/2004,2.0276634830378324,1.967967026420821,2.0304983623240425,1.967967026420821,612.76M,1.88%
02/11/2004,2.000751396036691,2.009115078999183,2.0294819700418256,1.9914732635108872,466.35M,-1.33%
02/12/2004,2.0387746970725655,2.012589032206953,2.056488478766155,1.9995709948663516,633.03M,1.90%
02/13/2004,1.9794224463754093,2.0400295983584957,2.0400295983584957,1.9794224463754093,421.24M,-2.91%
02/17/2004,8.01517431296992,8.000098552273796,8.036612088172035,7.942370127938078,446.91M,304.92%
02/18/2004,8.014818225476072,8.04007233703688,8.097650174429022,7.956740390873774,450.96M,-0.00%
02/19/2004,8.019891752257601,8.005848005014284,8.044055095128375,7.954428385498778,342.11M,0.06%
02/20/2004,7.931601775224091,8.034323632706448,8.035647955276502,7.913777680849199,559.45M,-1.10%
02/23/2004,8.036605035644188,7.875632828478014,8.054047049938593,7.852171086770265,456.42M,1.32%
02/24/2004,8.150037915816236,8.079298556918694,8.1659540926493,8.009777553440854,602.43M,1.41%
02/25/2004,8.191710592843089,8.147764821496645,8.217498285159937,8.130353032313678,598.28M,0.51%
02/26/2004,8.074146268697813,8.244334598420224,8.247418336020683,8.06920761250472,543.27M,-1.44%
02/27/2004,8.239042465096588,8.193283379241196,8.285121646635776,8.150766916740967,640.87M,2.04%
03/01/2004,8.301633948257715,8.323187959338794,8.366580398031974,8.270130540075693,540.74M,0.76%
03/02/2004,2.3217132424655893,2.4712327666658602,2.4712327666658602,2.299069736737774,1.15B,-72.03%
03/03/2004,2.4004112838748557,2.326057008962271,2.4194755090702413,2.2470459458022938,1.76B,3.39%
03/04/2004,2.3097328524676835,2.379594481878376,2.379594481878376,2.3060867692603693,883.63M,-3.78%
03/05/2004,2.4192713290566736,2.318114249270419,2.430302254983586,2.3180356111592104,1.16B,4.74%
03/08/2004,2.4663480506837927,2.4019873411557437,2.4879375485367325,2.380461265439828,1.16B,1.95%
03/09/2004,2.5181859925948453,2.502677701251007,2.5403053043392148,2.479984126133544,953.94M,2.10%
03/10/2004,2.5088437966848907,2.504793039258949,2.531140555210919,2.488751917485825,576.00M,-0.37%
03/11/2004,2.472611091898761,2.519944472142709,2.530530505740843,2.4504946236260143,779.77M,-1.44%
03/12/2004,2.5508762266383993,2.462759779301794,2.561171307351052,2.4325272649292664,978.50M,3.17%
03/15/2004,2.555486617202271,2.5595221018564778,2.6111320812603998,2.5510050226016068,857.51M,0.18%
03/16/2004,2.980965770228796,2.962158028389207,3.014648872019616,2.9296445655928287,923.27M,16.65%
