Date,Price,Open,High,Low,Vol.,Change %
01/02/2020,1856.6310921749275,1867.5983040968254,1870.094090238326,1847.0775682958108,10.59K,0.00%
01/03/2020,1869.036323044381,1854.9057294419827,1876.610440918431,1840.9859343264893,10.46K,0.67%
01/06/2020,1898.395850780265,1884.065276171295,1898.395850780265,1878.2439506116857,0.53K,1.57%
01/07/2020,1890.9441702817346,1899.4397903498275,1901.6719881636977,1880.3035973204132,0.55K,-0.39%
01/08/2020,1911.6973048593532,1885.8333508951496,1915.062086894714,1885.8333508951496,0.75K,1.10%
01/09/2020,1903.89646341961,1903.9562612148661,1919.9127992522501,1894.7190874697428,0.81K,-0.41%
01/10/2020,1912.9461633850865,1906.133339788439,1919.5152712224904,1888.212548788064,0.66K,0.48%
01/13/2020,1906.5279380202896,1914.1302218251572,1921.4867516076365,1872.4909305971937,1.05K,-0.34%
01/14/2020,1887.4576103417517,1879.3586899704549,1894.0392263720285,1873.10033770099,0.44K,-1.00%
01/15/2020,1893.1893442161245,1890.5614535341301,1898.9251825994463,1881.1277040833643,0.70K,0.30%
01/16/2020,1796.7500598319361,1825.7372699353969,1826.2140443135668,1789.0844102841284,1.54K,-5.09%
01/17/2020,1772.411602796258,1787.4588422810343,1791.3903272055604,1766.1046712326233,1.02K,-1.35%
01/20/2020,1770.534223828517,1772.1674189690875,1790.5021264213212,1767.9397230695672,0.62K,-0.11%
01/21/2020,1774.6686192410841,1773.1166094050166,1791.1567567230877,1761.1020208077093,1.79K,0.23%
01/22/2020,1804.5666460630564,1786.765283050104,1809.0787136763984,1777.0542535495065,1.73K,1.68%
01/23/2020,1805.1156211838932,1812.772300387295,1812.772300387295,1794.6058124705876,1.02K,0.03%
01/24/2020,1794.463059947651,1804.6346467979565,1814.725322342691,1781.9085201926757,1.50K,-0.59%
01/27/2020,1774.4726060844325,1808.008036184178,1808.008036184178,1765.6743914291249,316.25K,-1.11%
01/28/2020,1728.6462126874974,1768.4934750437085,1773.9246541610628,1713.7221712276487,362.55K,-2.58%
01/29/2020,1722.1515109817317,1732.2040761379153,1757.7263537051979,1717.5564978794666,241.92K,-0.38%
01/30/2020,1737.4621302541461,1667.506767769521,1739.9590279498814,1667.506767769521,1.88K,0.89%
01/31/2020,1752.5316255457972,1730.8699385216846,1760.5701162904677,1712.230122809871,1.61K,0.87%
02/03/2020,1759.1534673797212,1750.4196016763337,1776.295587725189,1734.4725333936724,1.16K,0.38%
02/04/2020,1732.3156460717037,1747.3016958942997,1747.3016958942997,1721.548237508886,1.08K,-1.53%
02/05/2020,1720.7760815319946,1730.048903162807,1753.8777401890486,1719.5534712699118,1.02K,-0.67%
02/06/2020,1690.0210545571001,1725.9284818377523,1726.9508056494565,1684.8120786014986,1.83K,-1.79%
