system,asset,period,scenario,mean_return,mdd,sharpe,sortino
RF,AAPL,2008-2009,S0,-0.014,10.4944,-0.9133,-0.9906
RF,AAPL,2008-2009,S1,-0.0033,6.7579,-0.216,-0.2276
RF,AAPL,2008-2009,S2,-0.0054,7.1171,-0.3539,-0.3756
RF,AAPL,2020-2021,S0,0.0266,3.7262,1.2554,1.8096
RF,AAPL,2020-2021,S1,0.038,3.4728,1.7869,2.5868
RF,AAPL,2020-2021,S2,0.0354,3.4844,1.6691,2.4172
RF,AAPL,2022-2023,S0,-0.0078,3.7844,-0.9401,-0.7595
RF,AAPL,2022-2023,S1,-0.0017,3.0145,-0.2055,-0.1585
RF,AAPL,2022-2023,S2,-0.0035,3.2197,-0.4147,-0.3227
RF,Gold,2008-2009,S0,-0.0059,6.9649,-0.4183,-0.5076
RF,Gold,2008-2009,S1,0.0052,5.2221,0.3757,0.4533
RF,Gold,2008-2009,S2,0.0023,5.5139,0.167,0.2026
RF,Gold,2020-2021,S0,0.001,0.9258,0.1962,0.1896
RF,Gold,2020-2021,S1,0.0059,0.7122,1.1232,1.0342
RF,Gold,2020-2021,S2,0.0039,0.7581,0.7397,0.6939
RF,Gold,2022-2023,S0,-0.0127,6.254,-1.4533,-0.8467
RF,Gold,2022-2023,S1,-0.0061,4.2324,-0.7624,-0.4718
RF,Gold,2022-2023,S2,-0.0099,5.2537,-1.1696,-0.6955
