system,scenario,mean_return,mdd,sharpe,sortino
Baseline,S0,-0.0053,10.2312,-0.3963,-0.5164
Baseline,S1,0.0026,8.8238,0.1759,0.2806
Baseline,S2,-0.0001,9.0489,-0.0118,0.0094
LLM,S0,-0.0128,10.1404,-1.4573,-1.7946
LLM,S1,-0.0,9.1077,-0.2746,-0.1977
LLM,S2,-0.006,7.089,-1.0296,-1.1145
RF,S0,-0.0022,5.3583,-0.3789,-0.1842
RF,S1,0.0063,3.902,0.3503,0.5361
RF,S2,0.0038,4.2245,0.1063,0.32
RMDB,S0,-0.0077,10.3262,-0.5889,-0.7737
RMDB,S1,-0.0009,8.5914,-0.056,-0.0563
RMDB,S2,-0.0032,9.0179,-0.2331,-0.3035
XGBoost,S0,-0.0105,8.2736,-0.7669,-0.8939
XGBoost,S1,0.0037,4.9498,0.2243,0.2871
XGBoost,S2,-0.0006,5.7959,-0.0914,-0.0804
