system,asset,period,scenario,mean_return,mdd,sharpe,sortino
XGBoost,AAPL,2008-2009,S0,-0.017,12.0496,-0.9984,-1.3091
XGBoost,AAPL,2008-2009,S1,-0.0024,8.3137,-0.144,-0.1866
XGBoost,AAPL,2008-2009,S2,-0.0052,8.487,-0.3113,-0.4077
XGBoost,AAPL,2020-2021,S0,0.0098,4.2871,0.5368,0.6497
XGBoost,AAPL,2020-2021,S1,0.0278,2.7836,1.54,1.929
XGBoost,AAPL,2020-2021,S2,0.022,3.9381,1.2021,1.4629
XGBoost,AAPL,2022-2023,S0,-0.0119,8.3239,-0.732,-0.985
XGBoost,AAPL,2022-2023,S1,0.0034,4.7473,0.2099,0.2759
XGBoost,AAPL,2022-2023,S2,-0.0001,5.153,-0.0082,-0.0109
XGBoost,Gold,2008-2009,S0,-0.0182,10.8219,-1.2943,-1.6447
XGBoost,Gold,2008-2009,S1,-0.005,7.0468,-0.3607,-0.4449
XGBoost,Gold,2008-2009,S2,-0.0085,7.7454,-0.6101,-0.759
XGBoost,Gold,2020-2021,S0,-0.0016,3.5373,-0.2,-0.2248
XGBoost,Gold,2020-2021,S1,0.0062,1.9312,0.7498,0.7934
XGBoost,Gold,2020-2021,S2,0.0028,2.3589,0.3376,0.3675
XGBoost,Gold,2022-2023,S0,-0.0241,10.6218,-1.9133,-1.8493
XGBoost,Gold,2022-2023,S1,-0.0079,4.8759,-0.6494,-0.644
XGBoost,Gold,2022-2023,S2,-0.0144,7.0929,-1.1584,-1.1355
