system,asset,period,scenario,mean_return,mdd,sharpe,sortino
RF,AAPL,2008-2009,S0,0.2056,1.0225,1.2828,54.5183
RF,AAPL,2008-2009,S1,0.2121,0.5011,1.3136,51.7151
RF,AAPL,2008-2009,S2,0.2119,0.5022,1.3134,51.697
RF,AAPL,2020-2021,S0,0.0786,1.5884,1.6109,10.3702
RF,AAPL,2020-2021,S1,0.0838,1.0142,1.7039,10.0665
RF,AAPL,2020-2021,S2,0.0837,1.014,1.7021,10.0576
RF,AAPL,2022-2023,S0,0.1695,1.5467,1.6079,21.9139
RF,AAPL,2022-2023,S1,0.177,1.1503,1.6664,22.169
RF,AAPL,2022-2023,S2,0.1768,1.1528,1.6653,22.2915
RF,Gold,2008-2009,S0,0.0493,1.6697,1.0411,4.2726
RF,Gold,2008-2009,S1,0.053,1.1295,1.1081,4.37
RF,Gold,2008-2009,S2,0.0527,1.1736,1.1029,4.3559
RF,Gold,2020-2021,S0,0.0585,1.0339,1.3565,19.5302
RF,Gold,2020-2021,S1,0.0651,0.441,1.5062,22.5906
RF,Gold,2020-2021,S2,0.0646,0.475,1.4952,22.3863
RF,Gold,2022-2023,S0,0.0306,1.9516,1.1014,2.2901
RF,Gold,2022-2023,S1,0.0369,1.2939,1.3212,2.8752
RF,Gold,2022-2023,S2,0.0362,1.3071,1.2998,2.8289
