system,asset,period,scenario,mean_return,mdd,sharpe,sortino
XGBoost,AAPL,2008-2009,S0,0.3208,3.6183,1.0585,28.6923
XGBoost,AAPL,2008-2009,S1,0.3366,2.0427,1.1041,27.6914
XGBoost,AAPL,2008-2009,S2,0.3362,2.0707,1.1031,27.8966
XGBoost,AAPL,2020-2021,S0,0.1465,2.7758,1.63,10.4637
XGBoost,AAPL,2020-2021,S1,0.1601,2.062,1.7684,10.7581
XGBoost,AAPL,2020-2021,S2,0.1597,2.0699,1.7645,10.7661
XGBoost,AAPL,2022-2023,S0,0.1498,4.9252,1.2655,10.4649
XGBoost,AAPL,2022-2023,S1,0.1643,3.7948,1.3806,11.0151
XGBoost,AAPL,2022-2023,S2,0.1639,3.8194,1.3776,11.0718
XGBoost,Gold,2008-2009,S0,0.089,4.8312,1.368,7.4001
XGBoost,Gold,2008-2009,S1,0.1032,2.8512,1.5729,7.975
XGBoost,Gold,2008-2009,S2,0.1017,3.0331,1.5517,7.8839
XGBoost,Gold,2020-2021,S0,0.1028,1.9235,1.8047,16.1157
XGBoost,Gold,2020-2021,S1,0.1166,1.5184,2.0362,17.388
XGBoost,Gold,2020-2021,S2,0.1155,1.5418,2.0165,17.4227
XGBoost,Gold,2022-2023,S0,0.0738,5.0365,1.4494,4.9699
XGBoost,Gold,2022-2023,S1,0.0895,3.5937,1.7576,5.9382
XGBoost,Gold,2022-2023,S2,0.0879,3.7478,1.724,5.8646
